City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
538,Katobu,ID,73.74,overcast clouds,-4.94,122.53,La Ode Husein
539,Kawardha,IN,80.15,overcast clouds,22.02,81.25,STARiHOTELS Raipur Road kawardha
552,Ugoofaaru,MV,82.53,overcast clouds,5.67,73.0,Ungoofaaru Inn
553,Arlit,NE,90.32,overcast clouds,18.74,7.39,Hôtel Telwa Bungalow
554,Riyadh,SA,89.6,clear sky,24.69,46.72,InterContinental Riyadh
555,Mubi,NG,72.48,clear sky,10.27,13.26,Hotel
559,Nawa,IN,82.22,clear sky,27.02,75.0,M Guest House
560,Nakhon Phanom,TH,77.36,overcast clouds,17.41,104.78,The River Hotel Nakhonphanom
562,Jian,CN,70.95,scattered clouds,27.12,114.98,Luling International Hotel
563,Biltine,TD,76.01,light rain,14.53,20.92,Hôtel Trois Étoiles de Biltine
566,Barga,IT,72.0,clear sky,44.07,10.48,Renaissance Tuscany Il Ciocco Resort & Spa
568,Kudahuvadhoo,MV,82.85,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
570,Lazaro Cardenas,MX,84.6,clear sky,17.96,-102.2,Collection O Hotel Quinta Antigua
572,Ca Mau,VN,79.11,broken clouds,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
573,Grand Gaube,MU,72.0,overcast clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
574,Faya,SA,75.2,few clouds,18.39,42.45,مقبرة ال مجمل
577,Chicama,PE,72.01,clear sky,-7.84,-79.15,Hospedaje Punta Cana PERU
579,Hamilton,US,88.0,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
581,Xacmaz,AZ,70.86,overcast clouds,41.46,48.81,SAHİL HOTEL
584,Kefalos,GR,77.0,clear sky,36.75,26.96,Kokalakis Hotel
585,Phangnga,TH,80.6,scattered clouds,8.45,98.53,Rattanapong Hotel
586,Klamath Falls,US,89.01,clear sky,42.22,-121.78,Holiday Inn Express & Suites Klamath Falls Central
587,San Quintin,MX,81.7,clear sky,30.48,-115.95,Old Mill Hotel
588,Wenling,CN,78.01,clear sky,28.37,121.36,Hanting Express Wenling Wanchang North Road
589,Mecca,SA,89.31,scattered clouds,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
590,Long Beach,US,81.0,overcast clouds,33.77,-118.19,The Westin Long Beach
591,Fruitville,US,89.6,thunderstorm,27.33,-82.46,Homewood Suites by Hilton Sarasota
598,Estelle,US,91.99,broken clouds,29.85,-90.11,Comfort Inn Marrero - New Orleans West
599,Tuensang,IN,70.43,overcast clouds,26.28,94.83,B.W.D Resthouse.
601,Bloomsburg,US,81.0,scattered clouds,41.0,-76.45,Hampton Inn Bloomsburg
603,Lafia,NG,75.52,moderate rain,8.48,8.52,Low Cost Housing Estate
612,Metro,ID,73.87,few clouds,-5.11,105.31,OYO 3177 Wisma Lintang
613,Bentiu,SS,71.06,overcast clouds,9.23,29.83,Mandela hôtel
615,Guarapari,BR,79.0,clear sky,-20.67,-40.5,Hotel Porto do Sol
616,Itarema,BR,80.44,broken clouds,-2.92,-39.92,Windvillage
618,Madang,PG,77.16,scattered clouds,-5.22,145.8,Comfort Inn Hotel
619,Seoul,KR,71.6,overcast clouds,37.57,126.98,LOTTE HOTEL SEOUL
620,Kattivakkam,IN,78.8,mist,13.22,80.32,St. Joseph Thirumana mandapam
621,Keffi,NG,71.6,thunderstorm with light rain,8.85,7.87,Imam Family
623,Fallon,US,93.2,clear sky,39.47,-118.78,Best Western Fallon Inn & Suites
626,Paka,MY,75.2,broken clouds,4.64,103.44,Rumbia Resort Villa Paka Terengganu
628,Peniche,PT,75.99,broken clouds,39.36,-9.38,Hotel Star inn Peniche
630,Gorontalo,ID,73.92,overcast clouds,0.54,123.06,Maqna Hotel by Prasanthi
635,Pa Sang,TH,78.8,scattered clouds,18.53,98.94,โรงแรม จามจุรี 99
636,Ternate,ID,79.79,light rain,0.8,127.4,Grand Dafam Bela Ternate
638,Moussoro,TD,87.06,clear sky,13.64,16.49,Pharmacie alnadja Moussoro
642,Benguela,AO,73.26,broken clouds,-12.58,13.41,Hotel Praia Morena
643,Craig,US,84.2,clear sky,40.52,-107.55,Candlewood Suites Craig-Northwest
646,Najran,SA,84.2,scattered clouds,17.49,44.13,محمد هادي ال فطيح
649,Tono,JP,71.89,clear sky,39.32,141.53,Aeria Tono
651,Rock Sound,BS,84.09,overcast clouds,24.9,-76.2,Rock Sound Club
655,Elizabeth City,US,86.0,few clouds,36.29,-76.25,Hampton Inn Elizabeth City
656,Lebanon,US,87.8,clear sky,36.21,-86.29,Hampton Inn & Suites Lebanon
658,Kamaishi,JP,76.08,clear sky,39.27,141.88,Hotel Route Inn Kamaishi
660,Payson,US,91.99,smoke,40.04,-111.73,Quality Inn Payson I-15
661,Vila,PT,78.01,few clouds,42.03,-8.16,Hotel Castrum Villae
663,Sawakin,SD,91.63,clear sky,19.11,37.33,فندق الدويم
665,Luang Prabang,LA,75.42,light rain,19.89,102.13,Villa Oasis
667,Moses Lake,US,78.8,smoke,47.13,-119.28,Ramada by Wyndham Moses Lake
668,Aden,YE,87.12,clear sky,12.78,45.04,Sama Emirate Hotel
672,Isabela,PH,79.34,moderate rain,6.71,121.97,Isawad Resort
673,Senador Jose Porfirio,BR,90.57,overcast clouds,-2.59,-51.95,MORADA DO SOL pousada
674,Pensacola,US,91.99,clear sky,30.42,-87.22,Days Inn by Wyndham Pensacola - Historic Downtown
677,Teahupoo,PF,80.01,scattered clouds,-17.83,-149.27,Vanira Lodge
678,May Pen,JM,87.8,few clouds,17.96,-77.25,Mus Com Bac
680,Ahuimanu,US,82.4,light rain,21.44,-157.84,Paradise Bay Resort
683,Khani,GE,71.6,scattered clouds,41.96,42.96,კურორტი ზეკარი/Resort Zekari
685,Santo Andre,BR,84.2,overcast clouds,-23.66,-46.54,Mercure Santo Andre Hotel
686,Sulangan,PH,83.95,moderate rain,11.14,123.72,Maia's Beach Resort
690,Wajima,JP,81.43,clear sky,37.4,136.9,Wajiima Onsen Yashio
692,Khowai,IN,76.8,overcast clouds,24.1,91.63,Bachai bari townhall
696,Koungou,YT,75.2,clear sky,-12.73,45.2,Villa Netibor
697,Guantanamo,CU,89.6,shower rain,20.14,-75.21,Hotel Marti
698,Godean,ID,73.71,broken clouds,-7.77,110.29,Hotel Pusaka Dua
699,Brewster,US,77.0,clear sky,41.4,-73.62,Heidi's Inn
703,Corinto,GR,78.01,clear sky,37.94,22.96,Ephira Hotel
