City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Kaili,ID,2020-09-04 04:57:45,-3.46,120.21,76.66,84,45,5.21
70,Gizo,SB,2020-09-04 04:57:45,-8.1,156.84,81.46,79,96,13.06
71,Arraial Do Cabo,BR,2020-09-04 04:57:45,-22.97,-42.03,70.41,86,0,16.96
72,Pevek,RU,2020-09-04 04:57:46,69.7,170.31,35.71,87,57,12.03
73,Vostok,RU,2020-09-04 04:57:46,46.49,135.88,78.19,43,0,11.12
74,Tasiilaq,GL,2020-09-04 04:57:46,65.61,-37.64,37.4,90,95,0.83
75,Torbay,CA,2020-09-04 04:57:46,47.67,-52.73,63.0,87,75,16.11
76,Belmonte,BR,2020-09-04 04:57:47,-15.86,-38.88,66.2,93,40,3.36
77,Yellowknife,CA,2020-09-04 04:57:47,62.46,-114.35,46.0,60,20,5.82
78,Castro,BR,2020-09-04 04:57:47,-24.79,-50.01,61.66,67,0,3.85
79,Yeppoon,AU,2020-09-04 04:53:09,-23.13,150.73,75.2,47,90,9.17
80,Rikitea,PF,2020-09-04 04:57:48,-23.12,-134.97,71.98,87,69,12.01
81,Ambilobe,MG,2020-09-04 04:54:54,-13.2,49.05,76.87,61,37,3.42
82,Victoria,HK,2020-09-04 04:57:27,22.29,114.16,87.01,74,39,6.49
83,Saskylakh,RU,2020-09-04 04:57:48,71.92,114.08,50.07,86,100,11.95
84,Parauna,BR,2020-09-04 04:57:49,-16.95,-50.45,66.43,33,20,2.28
85,Vaini,TO,2020-09-04 04:54:19,-21.2,-175.2,71.6,60,20,17.22
86,Praya,CV,2020-09-04 04:57:49,14.92,-23.51,78.8,88,75,9.17
87,Mackenzie,CA,2020-09-04 04:57:49,55.3,-123.17,55.4,87,75,5.82
88,Hithadhoo,MV,2020-09-04 04:57:50,-0.6,73.08,82.22,76,28,13.82
89,Provideniya,RU,2020-09-04 04:57:50,64.38,-173.3,44.6,65,40,6.71
90,Khatanga,RU,2020-09-04 04:57:50,71.97,102.5,43.3,78,100,14.23
91,Neuquen,AR,2020-09-04 04:53:23,-38.95,-68.06,44.6,54,5,4.7
92,Namibe,AO,2020-09-04 04:57:50,-15.2,12.15,61.54,75,71,4.45
93,Tuktoyaktuk,CA,2020-09-04 04:57:51,69.45,-133.04,42.8,81,75,14.99
94,Esperance,AU,2020-09-04 04:53:24,-33.87,121.9,64.4,68,75,10.29
95,Squinzano,IT,2020-09-04 04:57:51,40.44,18.04,75.2,100,5,3.36
96,Surgut,RU,2020-09-04 04:57:52,61.25,73.42,48.2,81,75,11.18
97,Japura,ID,2020-09-04 04:57:52,-0.32,102.35,91.36,52,45,4.09
98,Semirom,IR,2020-09-04 04:57:52,31.42,51.57,64.26,23,0,4.12
99,Tarko-Sale,RU,2020-09-04 04:57:52,64.92,77.78,48.0,83,3,3.0
