City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Tuatapere,NZ,-46.13,167.68,45.0,72,15,11.01,few clouds
84,Puerto Ayora,EC,-0.74,-90.35,77.0,61,40,12.75,scattered clouds
85,Anadyr,RU,64.75,177.48,35.6,67,0,4.47,clear sky
86,Bethel,US,41.37,-73.41,77.0,53,1,13.87,clear sky
87,Lubango,AO,-14.92,13.49,57.15,85,4,2.04,clear sky
88,Narasannapeta,IN,18.42,84.05,81.23,87,66,5.5,broken clouds
89,Lebu,CL,-37.62,-73.65,53.74,72,4,9.1,clear sky
90,Bengkulu,ID,-3.8,102.27,75.49,89,1,6.91,clear sky
91,Primo Tapia,MX,32.22,-116.92,100.0,43,1,5.82,clear sky
92,Saint George,US,37.1,-113.58,97.0,9,1,4.7,clear sky
93,Sumbe,AO,-11.21,13.84,72.9,80,0,5.44,clear sky
94,Pitea,SE,65.32,21.48,51.8,87,88,4.7,overcast clouds
95,Tuktoyaktuk,CA,69.45,-133.04,46.4,87,90,12.75,light rain
96,Alexandria,EG,31.22,29.96,82.4,69,40,6.93,scattered clouds
97,Kahului,US,20.89,-156.47,86.0,51,20,12.75,few clouds
98,Stepnoye,RU,51.4,46.87,68.0,12,90,5.99,overcast clouds
99,Ensenada,MX,31.87,-116.62,77.0,82,3,8.99,clear sky
100,Grindavik,IS,63.84,-22.43,46.4,87,75,8.05,broken clouds
101,Leningradskiy,RU,69.38,178.42,39.76,78,0,11.14,clear sky
102,Gat,IL,31.61,34.76,82.99,79,0,1.01,clear sky
103,Constitucion,CL,-35.33,-72.42,54.68,73,100,10.38,overcast clouds
104,Luoyang,CN,34.68,112.45,70.02,72,0,4.74,light rain
105,Dwarka,IN,22.24,68.97,82.78,83,61,10.83,broken clouds
106,Samarai,PG,-10.62,150.67,77.88,87,85,20.29,overcast clouds
107,Thompson,CA,55.74,-97.86,42.8,70,90,17.22,light intensity shower rain
108,Leek,NL,53.16,6.38,61.0,87,82,4.7,broken clouds
109,Srednekolymsk,RU,67.45,153.68,37.67,78,0,8.05,clear sky
110,Avarua,CK,-21.21,-159.78,75.2,53,7,11.41,clear sky
111,Marpingen,DE,49.45,7.06,57.99,71,0,2.46,clear sky
112,Tocopilla,CL,-22.09,-70.2,65.01,52,22,8.93,few clouds
113,Vila Franca Do Campo,PT,37.72,-25.43,71.6,78,20,4.7,few clouds
114,Katangli,RU,51.71,143.23,51.19,95,100,6.08,overcast clouds
115,Prince Rupert,CA,54.32,-130.32,62.6,82,1,4.7,clear sky
116,Lakeside,US,30.13,-81.77,90.0,55,75,12.75,broken clouds
117,Krasnoselkup,RU,65.7,82.47,42.6,79,66,2.53,broken clouds
118,Brokopondo,SR,4.75,-55.17,87.98,57,21,0.87,few clouds
119,Saint-Philippe,RE,-21.36,55.77,69.8,100,90,20.8,light rain
120,Port Lincoln,AU,-34.73,135.87,57.43,76,100,8.93,overcast clouds
121,Ponta Do Sol,PT,32.67,-17.1,73.0,69,97,4.0,overcast clouds
122,Mar Del Plata,AR,-38.0,-57.56,53.6,71,0,12.75,clear sky
123,Nivala,FI,63.92,24.97,48.99,91,0,1.01,clear sky
124,Clyde River,CA,70.47,-68.59,37.4,86,90,11.41,overcast clouds
125,Moyale,KE,3.52,39.06,71.73,59,96,17.94,overcast clouds
126,Kassala,SD,15.45,36.4,86.88,50,66,11.01,broken clouds
127,Mana,GF,5.66,-53.78,82.45,84,77,8.52,broken clouds
128,Luganville,VU,-15.53,167.17,77.0,88,75,8.05,broken clouds
129,Bose,IT,45.46,8.01,64.0,89,0,3.0,clear sky
130,Corrente,BR,-3.74,-43.34,95.36,26,46,2.84,scattered clouds
131,Geraldton,AU,-28.77,114.6,44.6,93,75,9.17,broken clouds
132,Miami,US,25.77,-80.19,84.0,74,90,11.41,overcast clouds
133,Nikolskoye,RU,59.7,30.79,57.0,82,40,4.47,scattered clouds
134,Casma,CL,-41.01,-73.12,57.2,58,75,13.87,broken clouds
135,Keflavik,IS,64.0,-22.56,48.2,87,75,8.05,broken clouds
136,Lucea,JM,18.45,-78.17,84.2,83,40,3.36,light intensity shower rain
137,Atherton,GB,53.52,-2.49,63.0,92,100,4.0,overcast clouds
138,Banyo,CM,6.75,11.82,65.26,92,100,3.06,light rain
139,Jeremie,HT,18.65,-74.12,83.53,74,100,3.24,overcast clouds
140,Minot,US,48.23,-101.3,50.0,43,90,20.8,overcast clouds
141,Saint-Leu,RE,-21.15,55.28,69.8,100,90,20.8,light rain
142,Minusinsk,RU,53.71,91.69,44.6,93,20,2.24,fog
143,Peachland,CA,49.77,-119.74,73.4,25,1,27.51,clear sky
144,Raga,SS,8.46,25.68,70.86,90,98,2.75,overcast clouds
145,Arraial Do Cabo,BR,-22.97,-42.03,78.8,73,40,8.05,scattered clouds
146,Christchurch,NZ,-43.53,172.63,48.99,93,0,4.7,clear sky
147,Panguipulli,CL,-39.63,-72.33,59.0,62,75,9.17,broken clouds
148,Bogatoye,RU,53.06,51.33,57.15,43,0,3.58,clear sky
149,Martapura,ID,-3.42,114.85,75.2,100,75,2.24,broken clouds
150,Houlton,US,46.13,-67.84,73.4,49,75,14.99,broken clouds
151,Joshimath,IN,30.57,79.57,61.86,54,0,2.53,clear sky
152,Cockburn Town,TC,21.46,-71.14,86.0,66,40,11.41,scattered clouds
153,Tucuman,AR,-26.82,-65.22,66.2,59,75,3.06,broken clouds
154,Pacific Grove,US,36.62,-121.92,102.0,50,1,4.7,haze
155,Kollam,IN,8.88,76.6,80.6,83,40,2.75,haze
156,Hualmay,PE,-11.1,-77.61,65.19,67,15,10.04,few clouds
157,Okhotsk,RU,59.38,143.3,49.87,83,51,12.71,broken clouds
158,Severo-Kurilsk,RU,50.68,156.12,53.42,90,20,11.16,few clouds
159,Solano,US,38.23,-121.95,108.0,19,1,7.61,clear sky
160,Coari,BR,-4.08,-63.14,95.77,33,86,1.43,overcast clouds
161,Kungurtug,RU,50.6,97.52,45.43,83,96,2.64,overcast clouds
162,Klaksvik,FO,62.23,-6.59,51.8,87,12,21.92,few clouds
163,Bathsheba,BB,13.22,-59.52,87.8,70,40,12.75,scattered clouds
164,Inirida,CO,3.87,-67.92,89.91,57,58,2.04,broken clouds
165,Fayaoue,NC,-20.65,166.53,72.16,80,100,18.99,overcast clouds
